16666667
38137516800503	38137561785349	38137536253964
38137533944734	38137578429657	38137551382964
38137549562580	38137595082041	38137566643811
38137571398888	38137611728734	38137586350349
38137585830964	38137628397964	38137600790272
38137602347811	38137645039580	38137617153426
38137617570580	38137661682580	38137633068734
38137634683811	38137678333118	38137649569426
38137653518580	38137694998041	38137668548195
38137669636195	38137711637349	38137684397657
38137684303272	38137728318580	38137699624811
38137702151811	38137744941118	38137717134272
38137713897118	38137761579580	38137731590888
38137736553964	38137778232426	38137749604503
38137749427580	38137794878580	38137764948734
38137769153041	38137811528118	38137783871503
38137783878041	38137828181041	38137799146349
38137801886349	38137844828503	38137816710272
38137817665734	38137861497734	38137832605041
38137830874964	38137878150041	38137847929964
38137851729041	38137894777118	38137866797657
38137869232503	38137911465426	38137884692811
38137885892426	38137928113349	38137899915195
38137901079195	38137944735580	38137916228734
38137916977118	38137961381118	38137931123811
38137932865964	38137978042964	38137947965426
38137948385426	38137994685349	38137963099580
38137965833041	38138011330580	38137981074657
38137984110965	38138027976118	38137999290888
38138009322888	38138044632426	38138024430041
38138020248195	38138061278041	38138039074349
38138032410349	38138077921734	38138054338580
38138048399580	38138094583195	38138069588195
38138067688811	38138111238657	38138085051272
38138082350349	38138127891580	38138100213657
38138100202349	38138144606888	38138115432811
38138114953965	38138161190349	38138130697118
38138138908734	38138177822349	38138153921426
38138147637734	38138194482965	38138169213965
38138164168195	38138211137657	38138184505657
38138181960195	38138227783195	38138199478349
38138199650657	38138244424118	38138214956195
38138216053426	38138261080503	38138231324195
38138231975272	38138277723811	38138247255811
38138248871272	38138294370580	38138263909118
38138274298041	38138311028195	38138288802888
38138283664118	38138327753657	38138304075272
38138300631580	38138344324195	38138319382965
38138314432426	38138360973965	38138334531580
38138333994272	38138377643580	38138349738041
38138349049426	38138394285426	38138364963811
38138367459580	38138410917734	38138382506580
38138386355888	38138427566272	38138401173657
38138398766349	38138444219272	38138416437041
38138416813426	38138460874580	38138431720811
38138431933041	38138477517041	38138447058657
38138455437041	38138494175888	38138470413118
38138467790349	38138510857118	38138484758272
38138483440503	38138527541965	38138500266272
38138497896503	38138544129041	38138515298041
38138516309734	38138560781734	38138531183580
38138534062349	38138577415811	38138548938272
38138548776426	38138594066272	38138563753657
38138574673349	38138610712811	38138589425965
38138586296734	38138627393657	38138604694657
38138598705118	38138644095195	38138619935888
38138612850657	38138660665965	38138635718657
38138629047503	38138677473426	38138650858041
38138649075272	38138693963811	38138666160118
38138664094657	38138710621118	38138681590888
38138681621041	38138727264195	38138696915195
38138700616503	38138743910965	38138715436811
38138715160811	38138760570888	38138730559272
38138732198888	38138777212811	38138747098580
38138748546272	38138793879503	38138763437041
38138766481349	38138810524118	38138781454041
38138782471503	38138827268734	38138797492734
38138800353657	38138843818888	38138815228734
38138822406580	38138860473349	38138837323195
38138830161426	38138877128426	38138852630041
38138847561734	38138893783811	38138867742272
38138895450349	38138927069426	38138909612811
38138915744811	38138960381965	38138930177118
38138930809118	38138977297965	38138945764811
38138947998888	38138993674965	38138962881426
38138965318888	38139010313965	38138980233118
38138980941734	38139026960811	38138995227195
38138998351580	38139043609426	38139013332118
38139016768734	38139060325426	38139031906272
38139032930272	38139076925041	38139047853041
38139050785041	38139093566041	38139065521657
38139069719503	38139110204503	38139084724426
38139081860734	38139126863272	38139099201426
38139101234888	38139143503580	38139115730580
38139117141965	38139160162580	38139131630888
38139139503503	38139176815272	38139154324195
38139148989965	38139193460734	38139168631580
38139163660503	38139210148426	38139183378657
38139181778580	38139227079272	38139197843580
38139197149426	38139243408118	38139213143888
38139223199272	38139260108503	38139238037734
38139232309041	38139276711811	38139252804426
38139249759272	38139293358657	38139267646965
38139267543195	38139310019503	38139282834580
38139282841042	38139326673118	38139298182657
38139305311580	38139343301118	38139320193965
38139322719580	38139359963272	38139337695503
38139335480426	38139376618042	38139352489734
38139345859503	38139393265426	38139367635195
38139363169426	38139409944734	38139383103272
38139380725734	38139426548426	38139398766965
38139403936811	38139443197118	38139414103503
38139412270657	38139459861965	38139429250042
38139427900195	38139476508734	38139444445426
38139440160811	38139493165734	38139459625965
38139455478580	38139509834657	38139474894042
38139474436811	38139526821657	38139490218580
38139491701965	38139543107272	38139507031580
38139510039811	38139559767272	38139525252503
38139529190888	38139576414580	38139543986042
38139545404811	38139593059503	38139560412118
38139569347195	38139609694965	38139584540118
38139575486965	38139626359272	38139599092734
38139593867580	38139642994580	38139614379811
38139611228426	38139659656426	38139629589042
38139626493965	9223372036854775807	38139644941965
38139645608426	9223372036854775807	38139660745118

