16666667
37952535983800	37952571222261	37952551831492
37952568370030	37952604631261	37952583729338
37952585909030	37952621182953	37952601340415
37952600882569	37952637820492	37952615993107
37952619676415	37952654478030	37952634932492
37952652964107	37952687770338	37952667427492
37952685660107	37952721072107	37952701117723
37952720762953	37952754383184	37952733506261
37952769168415	37952804319184	37952783764184
37952801780723	37952837621415	37952816821723
37952836957953	37952870918569	37952851684107
37952851017415	37952887596723	37952866382030
37952886698030	37952920924800	37952901463800
37952934113953	37952970824107	37952949651569
37952970457030	37953004121723	37952985036184
37952985189107	37953020761107	37952999806646
37953002054569	37953037481723	37953017372107
37953256308184	37953292484107	37953274446338
37953284458953	37953309131261	37953295524800
37953301399877	37953342425723	37953311840723
37953320256107	37953359075877	37953330040415
37953339492107	37953375717723	37953349303184
37953356496800	37953392373723	37953371304492
37953370324107	37953409027184	37953386110569
37953387331877	37953425673338	37953402451184
37953405022877	37953442304800	37953419457646
37953437442569	37953475604415	37953452214261
37953454661107	37953492261646	37953469285723
37953489612184	37953525554261	37953504341415
37953519477415	37953558856415	37953534313107
37953536903800	37953575508107	37953551472800
37953554969954	37953592173646	37953569442646
37953571756723	37953608820492	37953587100415
37953590050646	37953625462261	37953604851877
37953605636800	37953642105646	37953620229723
37953639226338	37953675420800	37953653902338
37953674754030	37953708813646	37953690336415
37953688776415	37953725357415	37953704329415
37953705831800	37953742009338	37953720453646
37953721929415	37953758652723	37953737481415
37953738189030	37953775299492	37953752977030
37953753906261	37953791949646	37953768520107
37953771924723	37953808607492	37953786556415
37953787340800	37953825266569	37953801910338
37953804185030	37953841912184	37953819376800
37953841500184	37953875210030	37953856101954
37953853153415	37953891867261	37953870856723
37953891085107	37953925162261	37953906441107
37953922358569	37953958465107	37953938100107
37953940854877	37953975099877	37953955593646
37953954570569	37953991747800	37953970238646
37953971745107	37954008413954	37953986795261
37954005635261	37954041722338	37954020826954
37954040279184	37954075072492	37954055523184
37954056390646	37954091693954	37954071277030
37954090421107	37954124953107	37954105835492
37954122410877	37954158259261	37954136895800
37954138125415	37954174906261	37954153177646
37954155025954	37954191586338	37954170258338
37954178555800	37954208208184	37954192932723
37954190905415	37954224930646	37954207712415
37954217506030	37954258385338	37954232274646
37954252226646	37954291453646	37954266942261
37954309194954	37954341411261	37954324475261
37954358085646	37954391394877	37954373468800
37954391029646	37954424662954	37954406100107
37954406859800	37954441302954	37954421396492
37954438444415	37954474597646	37954453162877
37954489345646	37954524552184	37954503811569
37954505157338	37954541203569	37954519662569
37954521494261	37954557844184	37954536134646
37954537369107	37954574492184	37954551193030
37954554957646	37954591140415	37954570254030
37954569392184	37954607785954	37954584987877
37954588441338	37954624444723	37954603723492
37954604520415	37954641104107	37954618770030
37954638865723	37954674401030	37954654059261
37954656388492	37954691051877	37954671005415
37954689502338	37954724354877	37954704755800
37954726119569	37954757638569	37954740712800
37954754560492	37954790955184	37954769049954
37954773046877	37954807607569	37954788246877
37954805615492	37954840937954	37954820821415
37954824391569	37954857551877	37954838932800
37954856923800	37954890834338	37954871354954
37954888426031	37954924348723	37954902881031
37954924085031	37954957468107	37954938693646
37954954772723	37954990749954	37954970025954
37954972554569	37955007413031	37954987209031
37954987271569	37955024059569	37955001900800
37955005894261	37955040701107	37955021007877
37955020804723	37955057344415	37955035745415
37955057149646	37955090631569	37955072353107
37955106709723	37955140597954	37955121868492
37955118901031	37955157253107	37955137244415
37955158010646	37955190545415	37955173340184
37955171492492	37955207175877	37955188319184
37955185525646	37955223838569	37955202966954
37955220354338	37955257138646	37955235604492
37955235622954	37955273775800	37955250546338
37955287301646	37955323743184	37955302741415
37955307293031	37955340390569	37955322079569
37955338028800	37955373692415	37955353053107
37955352726569	37955390334646	37955367791261
37955372172800	37955406991800	37955386774954
37955422462261	37955456938569	37955436971569
37955437740184	37955473583800	37955452065723
37955454398877	37955490238338	37955469408723
37955489424415	37955523547261	37955503897031
37955522918031	37955556841107	37955538394261
37955571719800	37955606770569	37955586389338
37955603720492	37955640111184	37955618518338
37955640432492	37955673381031	37955655492723
37955652196723	37955690080184	37955670161954
37955690345338	37955723341031	37955705886646
37955738002338	37955773277723	37955752485415
37955754380800	37955789939492	37955768718646
37955770184415	37955806587261	37955785005954
37955805199261	37955840209338	37955819817107
37955820368415	37955856941723	37955834938877
37955854624492	37955889820184	37955870135569
37955870495492	37955906561031	37955884968107
37955904461646	37955939789415	37955919369646
37955939257954	37955973179569	37955954593338
37956005708415	37956039692415	37956020532723
37956039693108	37956072989108	37956055113723
37956121983261	9223372036854775807	37956137245108

