16666667
37535999425006	37536034812467	37536010921313
37536016071775	37536051475159	37536027774236
37536031968775	37536068124467	37536043915236
37536047447236	37536084774621	37536059195852
37536066092467	37536101448698	37536078106006
37536081420467	37536118084159	37536093278929
37536099934929	37536134721313	37536111267775
37536115663467	37536151366621	37536127779236
37536130668775	37536168097082	37536143045698
37536145539236	37536184672698	37536157538313
37536163233313	37536201328082	37536175547236
37536182463775	37536217974621	37536192591775
37536200186929	37536234609698	37536211189929
37536215098544	37536251272775	37536224768082
37536229662313	37536267919775	37536240516467
37536246232159	37536284573621	37536258200775
37536263047852	37536301218621	37536274673621
37536278844467	37536317894544	37536290645698
37536297075544	37536334535159	37536309018544
37536317465929	37536351170236	37536328783775
37536332875159	37536367828467	37536344192159
37536347255852	37536384470236	37536359463775
37536366313698	37536401106313	37536378335159
37536381910929	37536417758544	37536393627467
37536395290929	37536434419467	37536407482852
37536414321929	37536451074852	37536426437390
37536433609006	37536467709313	37536445242621
37536446276775	37536484369390	37536459082313
37536465502313	37536501023159	37536476611544
37536478817313	37536517668390	37536491044159
37536496866621	37536534316467	37536508720390
37536514029313	37536550970852	37536525851467
37536529689082	37536567620467	37536541636390
37536546960390	37536584272390	37536559043159
37536564090313	37536600907544	37536574576082
37536581375775	37536617567467	37536593218852
37536597169083	37536634215852	37536609286006
37536613026544	37536650851852	37536623617006
37536629517621	37536667508698	37536641512775
37536647676159	37536684169698	37536659110621
37536666108467	37536700820159	37536677679544
37536680706313	37536717451852	37536692451159
37536697704083	37536734103544	37536709312390
37536714427159	37536750749313	37536726110313
37536730501698	37536767411159	37536742399775
37536747337083	37536784097083	37536758951544
37536762835775	37536800710544	37536774915159
37536779980159	37536817362929	37536792245621
37536795959852	37536834017006	37536808172390
37536813823544	37536850671775	37536825709698
37536832966006	37536867312775	37536844845698
37536845110313	37536883978621	37536858180083
37536862660083	37536900617390	37536873925621
37536878996159	37536917248390	37536890216159
37536895916775	37536933899852	37536907619852
37536914574006	37536950563544	37536926455852
37536931770929	37536967213006	37536943400390
37536947372390	37536983867159	37536959060467
37536964474852	37537000511775	37536976274852
37536982723775	37537017169083	37536992175544
37537000807159	37537033825313	37537012487775
37537015110621	37537050479236	37537026338852
37537032816390	37537067106621	37537044067775
37537050301006	37537083784775	37537061525698
37537062437698	37537100410236	37537075119467
37537079364083	37537117057929	37537091172698
37537096166544	37537133705083	37537108417621
37537114664159	37537150357390	37537126309083
37537128788390	37537167027544	37537140851852
37537145834313	37537183663775	37537157924390
37537165012390	37537200307236	37537177360083
37537179442006	37537216955852	37537191038313
37537195579852	37537233627236	37537207883467
37537212127544	37537250272083	37537223434929
37537229507852	37537266912775	37537241414544
37537249659236	37537283575544	37537261189621
37537266074929	37537300194236	37537277431852
37537279480390	37537316886929	37537291428083
37537296593698	37537333512698	37537308529929
37537317606929	37537350156698	37537327546006
37537332429390	37537366804390	37537344117390
37537345605083	37537383469006	37537357722236
37537362279159	37537400117006	37537374508390
37537381367852	37537416762236	37537393105929
37537397650313	37537433389390	37537409038544
37537413449929	37537450059544	37537424906929
37537430161929	37537466688467	37537441721313
37537447321621	37537483353083	37537459467775
37537463197621	37537500017698	37537475268159
37537478621698	37537516653929	37537490783159
37537493863467	37537533304775	37537505665390
37537511554313	37537549990313	37537523480467
37537528954236	37537566628698	37537540552775
37537547965621	37537583261313	37537559850929
37537563729390	37537599899852	37537576637083
37537580141621	37537616546621	37537590294852
37537594955852	37537633216159	37537606394621
37537613033929	37537649858621	37537623629313
37537629878621	37537666498852	37537641288698
37537645676467	37537683170313	37537657665313
37537662819775	37537699804083	37537674734852
37537679877313	37537716447159	37537691524775
37537698121390	37537733101390	37537710079467
37537714415236	37537749746621	37537726305313
37537729297313	37537766384698	37537741250313
37537745433390	37537783039467	37537756847159
37537762290236	37537799697621	37537774605083
37537778873083	37537816347775	37537790816775
37537794392083	37537833026236	37537806516159
37537811219236	37537849646544	37537823390544
37537827942852	37537866296775	37537840114236
37537844295775	37537882944390	37537856079775
37537860847852	37537899613006	37537872733313
37537877676390	37537916255236	37537889292160
37537895982929	37537932926313	37537908201006
37537914617390	37537949548083	37537926572160
37537930525390	37537966237006	37537942235160
37537946306313	37537982850006	37537958117698
37537963270852	37537999501313	37537975001313
37537979520160	37538016143775	37537991506852
37537997081313	37538032783467	37538008549006
37538012753006	37538049427544	37538024156467
37538029473621	37538066094929	37538041249698
37538046164467	37538082749621	37538058112775
37538063662621	37538099378929	37538075517621
37538080465621	37538116073929	37538092521083
37538096619160	9223372036854775807	37538107898544

