16666667
37993576418879	37993611406648	37993588526956
37993591830341	37993628067571	37993605578956
37993603943571	37993644883571	37993619950571
37993622242033	37993661324725	37993636509648
37993637745725	37993677988494	37993651902033
37993654764187	37993694645648	37993668389033
37993670228187	37993711285341	37993683534879
37993686932110	37993727980417	37993699921725
37993706574264	37993744581341	37993719121417
37993721367879	37993761236187	37993734221033
37993741418956	37993777890264	37993753353033
37993761798033	37993794539879	37993774533725
37993804921956	37993844511879	37993819828802
37993859453648	37993894438956	37993868987571
37993873610956	37993911085033	37993889178264
37993882772187	37993927755494	37993905803879
37993898956725	37993944408110	37993920650033
37993913286571	37993961045417	37993935649033
37993928269417	37993977698648	37993949948110
37993944270648	37993994329956	37993964385956
37993961443494	37994010992802	37993979688802
37993978339187	37994027633417	37993994562341
37993995726341	37994044281110	37994009339187
37994008417648	37994060962264	37994025259187
37994031751802	37994077579187	37994046520417
37994045165341	37994094238341	37994060117033
37994058781341	37994110882879	37994072747802
37994073017341	37994127532417	37994087248187
37994099173956	37994144232802	37994110043571
37994111917341	37994160830341	37994126627879
37994135500494	37994177495802	37994148667494
37994145178879	37994194132417	37994164320494
37994157911879	37994210800187	37994179170033
37994174692187	37994227507494	37994194592725
37994191793417	37994244089725	37994209002571
37994206622956	37994260727264	37994223520110
37994223370648	37994277372417	37994238295802
37994242754033	37994294012417	37994257191264
37994256101417	37994310681956	37994271703879
37994274865648	37994327330648	37994290697725
37994290652417	37994343979879	37994303975802
37994310208494	37994360624802	37994325149725
37994326726033	37994377277033	37994340081417
37994349617417	37994393924802	37994363388187
37994365337341	37994410572187	37994379802264
37994375933110	37994427225417	37994394196802
37994391351494	37994443876417	37994408578956
37994410426264	37994460525341	37994422601956
37994428138571	37994477177110	37994441422341
37994444886879	37994493830956	37994459977033
37994457783879	37994510476187	37994474505417
37994482568110	37994527145956	37994496927187
37994509165648	37994543783571	37994525135879
37994517404187	37994560442341	37994539951802
37994536251264	37994577080110	37994554611571
37994550357033	37994593727187	37994569677648
37994562564494	37994610374879	37994584888494
37994598015571	37994627022648	37994609374879
37994615569341	37994660324802	37994630564725
37994642157341	37994676973033	37994652315879
37994666593648	37994710290879	37994681003494
37994686617648	37994726932725	37994699018956
37994696884187	37994743568494	37994713115187
37994737381418	37994776871494	37994752176802
37994752114571	37994793541033	37994765853110
37994758441033	37994810178264	37994780624187
37994774535187	37994826832494	37994794894264
37994792697725	37994843477956	37994808106571
37994818294033	37994860175187	37994824531571
37994827399187	37994876771264	37994843088494
37994839911802	37994893417033	37994857259571
37994871811494	37994910074879	37994878900187
37994887626956	37994926721725	37994903166648
37994898085418	37994943393648	37994916312418
37994919957033	37994960027494	37994932692802
37994929177648	37994976676110	37994946766264
37994953458879	37994993331802	37994967402571
37994963699571	37995009973956	37994982026956
37994975529341	37995026623264	37994997671264
37994994278956	37995043265033	37995012725418
37995008702571	37995059917341	37995028144187
37995027266033	37995076567264	37995042047571
37995058070341	37995093253341	37995062517110
37995082668418	37995126528725	37995095784187
37995093056187	37995143181033	37995108427264
37995110342571	37995159810879	37995123094648
37995124237725	37995176467494	37995136482341
37995172442571	37995209793648	37995178750956
37995188661033	37995226440725	37995201013725
37995208700187	37995243062033	37995224250264
37995226664494	37995259717418	37995242813648
37995235232802	37995276393418	37995256196110
37995250327571	37995293017341	37995270815802
37995273305033	37995309675571	37995288446341
37995284257725	37995326321341	37995302462571
37995297698879	37995342962956	37995317037725
37995311041725	37995359613418	37995331987264
37995380539264	37995409562956	37995395884187
37995390643879	37995426226341	37995410111187
37995409645110	37995442866341	37995423896418
37995425227802	37995459511494	37995438622264
37995457685110	37995492821033	37995465831571
37995476482571	37995509464418	37995483139802
37995485801956	37995526109110	37995497362341
37995529364725	37995559411571	37995541942264
37995543804802	37995576101418	37995557379802
37995562115802	37995592710879	37995574719494
37995575045033	37995609406648	37995590840802
37995591702033	37995626011571	37995606880187
37995610136725	37995642664725	37995623101033
37995632474571	37995675963264	37995648211264
37995653808187	37995692605648	37995668545341
37995674360802	37995709272187	37995683696187
37995691576187	37995725951879	37995697811264
37995700936110	37995742558571	37995712628494
37995711734648	37995759208802	37995726758341
37995730948110	37995775862341	37995746105110
37995752606956	37995792555571	37995760279571
37995782009725	37995825807187	37995793854571
37995810414879	37995842453956	37995823908494
37995819489725	37995859102879	37995837943879
37995830917033	37995875759571	37995851617418
37995853392802	37995892403264	37995865760494
37995860145418	37995909052802	37995880099264
37995873338956	37995925706341	37995892697956
37995891259879	9223372036854775807	37995904823802
37995905323187	9223372036854775807	37995918296725

